bgg_id,name,url,date_published,bernhard_loehlein,christoph_schlewinski,harald_schrapers,hauke_petersen,johanna_france,julia_zerlik,karsten_grosser,manuel_fritsch,maren_hoffmann,martin_klein,martina_fuchs,michaela_poignee,nico_wagner,sandra_lemburger,stefan_gohlisch,stefanie_marckwardt,stephan_kessler,tim_koch,tobias_franke,udo_bartsch
242302,Space Base,https://www.spiel-des-jahres.de/kritikenrundschau-john-d-claires-weltraumabenteuer-space-base/,2019-12-03T10:26:16+00:00,,,6,,,9,,,,4,,,,,,,,5,,3
284083,Die Crew,https://www.spiel-des-jahres.de/kritikenrundschau-kooperativ-ins-all-die-crew/,2019-12-15T08:00:11+00:00,9,,9,,,8,9,9,,,,,,,,,9,8,,6
264055,Draftosaurus,https://www.spiel-des-jahres.de/kritikenrundschau-dinos-sammeln-mit-draftosaurus/,2019-12-30T09:45:44+00:00,,,5,,,5,8,5,,5,,,,8,,,8,5,,
148494,"1,2,3",https://www.spiel-des-jahres.de/kritikenrundschau-mit-radau-in-den-regenwald-kinderspiele-im-januar/,2020-01-07T08:36:08+00:00,,,,,,,,,,,,,,,8,,,,,
243606,Clouds,https://www.spiel-des-jahres.de/kritikenrundschau-mit-radau-in-den-regenwald-kinderspiele-im-januar/,2020-01-07T08:36:08+00:00,,,,,,,,,,,,,,,,8,,,,
285166,Grizzly,https://www.spiel-des-jahres.de/kritikenrundschau-mit-radau-in-den-regenwald-kinderspiele-im-januar/,2020-01-07T08:36:08+00:00,,8,,,,,,,,,,,,,,,,,,
262390,Li-La-Laut,https://www.spiel-des-jahres.de/kritikenrundschau-mit-radau-in-den-regenwald-kinderspiele-im-januar/,2020-01-07T08:36:08+00:00,,,,,,,,,,,,,,,,6,,,,
288969,Puzzle Memo,https://www.spiel-des-jahres.de/kritikenrundschau-mit-radau-in-den-regenwald-kinderspiele-im-januar/,2020-01-07T08:36:08+00:00,,,,,,,,,,,,,,,8,,,,,
199042,Harry Potter – Kampf um Hogwarts,https://www.spiel-des-jahres.de/kritikenrundschau-harry-potter-kampf-um-hogwarts-lumos-oder-cruciatus/,2020-01-27T07:00:21+00:00,,,5,,,8,,7,,,,,,,8,,5,7,,4
221965,Der Fuchs im Wald,https://www.spiel-des-jahres.de/kritikenrundschau-spiele-fuer-zwei-personen/,2020-02-13T07:00:20+00:00,,,7,5,,,9,,,,,,,,,,,,,
264241,Mandala,https://www.spiel-des-jahres.de/kritikenrundschau-spiele-fuer-zwei-personen/,2020-02-13T07:00:20+00:00,7,,7,,,9,8,,,,,,,,,,,,,
280132,Robin von Locksley,https://www.spiel-des-jahres.de/kritikenrundschau-spiele-fuer-zwei-personen/,2020-02-13T07:00:20+00:00,,,,,,,,,,8,,,,,,,9,,,
284435,Nova Luna,https://www.spiel-des-jahres.de/kritikenrundschau-nova-luna-der-mond-ist-aufgegangen/,2020-03-12T07:00:06+00:00,,,,,,9,,9,,,,,,,,,7,,,7
262712,Res Arcana,https://www.spiel-des-jahres.de/kritikenrundschau-res-arcana-voll-bepackt-mit-zaubersachen/,2020-03-27T08:00:48+00:00,,,8,,,5,,7,,,,,,,8,,5,7,,5
285265,Rune Stones,https://www.spiel-des-jahres.de/kritikenrundschau-rune-stones-heilige-steine-heilige-haine/,2020-04-10T06:00:57+00:00,8,,,,,9,,,,,,,,,8,,7,5,,5
265736,Tiny Towns,https://www.spiel-des-jahres.de/kritikenrundschau-tiny-towns-schnell-mal-ne-stadt-verplanen/,2020-04-20T06:00:39+00:00,,,,,,9,,8,,,,,,,,,8,,,7
263918,Der Kartograph,https://www.spiel-des-jahres.de/kritikenrundschau-der-kartograph-zettel-stift-karte-und-gebiet/,2020-04-29T06:00:37+00:00,8,8,7,,,10,,9,,8,,,,,,,9,8,,7
287938,Kitchen Rush,https://www.spiel-des-jahres.de/kritikenrundschau-hektik-am-herd/,2020-05-05T06:00:41+00:00,9,,3,,,8,,,,3,,,,,10,,,,,5
241266,Little Town,https://www.spiel-des-jahres.de/kritikenrundschau-little-town-innen-niedlich-aussen-hart/,2020-05-15T06:00:35+00:00,,,8,,,7,,8,,7,,,,,5,,7,,,7
191189,Aeon’s End,https://www.spiel-des-jahres.de/kritikenrundschau-aeons-end-zaubern-was-das-zeug-haelt/,2020-10-21T06:00:10+00:00,,,5,,,8,,8,,,,,,,,,8,,,7
319107,Killercruise,https://www.spiel-des-jahres.de/kritikenrundschau-killercruise-ein-schiff-wird-kommen/,2020-11-16T09:02:24+00:00,8,,9,,,9,,,,,,,,,8,,5,,,5
300327,The Castles of Tuscany,https://www.spiel-des-jahres.de/kritikenrundschau-the-castles-of-tuscany/,2020-11-24T07:00:23+00:00,8,,8,,,5,6,,,,,,,,,,,,,7
310442,Feierabend,https://www.spiel-des-jahres.de/kritikenrundschau-feierabend/,2020-12-04T07:00:17+00:00,,8,,,,5,,5,,,,,,,,,5,,,6
